id,name,country,date,clouds,humidity,lat,lon,temp_max,wind_speed
1485020,Znamenskoye,RU,1551891176,92,87,57.13,73.82,25.06,14.83
1244926,Hambantota,LK,1551891176,32,100,6.12,81.12,82.16,8.57
5404476,Ukiah,US,1551891004,90,81,39.15,-123.21,55.0,6.93
2158767,Mareeba,AU,1551891019,75,88,-16.99,145.42,75.2,10.29
3450554,Salvador,BR,1551888000,20,62,-12.98,-38.48,89.6,10.29
3401845,Conceicao do Araguaia,BR,1551891177,44,96,-8.26,-49.26,83.02,2.64
2079582,Alyangula,AU,1551889080,0,94,-13.85,136.42,77.0,3.36
4732862,Nome,US,1551891124,1,29,30.04,-94.42,53.01,8.05
3393692,Itarema,BR,1551891178,80,94,-2.92,-39.92,79.73,7.67
3359638,Walvis Bay,NA,1551888124,0,54,-22.95,14.51,78.8,9.17
1800657,Mentougou,CN,1551890919,0,42,39.94,116.09,41.0,2.24
286987,Nizwa,OM,1551891179,76,27,22.93,57.53,73.25,7.0
3305808,Warmbad,DE,1551891141,0,65,50.67,13.08,55.4,8.05
1857910,Ohara,JP,1551890650,92,97,35.12,135.83,50.0,9.91
2033467,Yanji,CN,1551891179,0,48,42.89,129.5,20.87,3.87
2062276,Roebourne,AU,1551891179,56,69,-20.77,117.15,81.08,7.9
2548885,Fez,MA,1551889800,75,52,34.03,-5.02,66.2,16.11
2513324,Navalmoral de la Mata,ES,1551891180,92,93,39.89,-5.54,45.94,15.17
1254046,Tura,IN,1551891180,48,61,25.52,90.21,61.87,4.43
3646767,Caraballeda,VE,1551891022,20,61,10.61,-66.85,82.4,5.82
2027968,Aldan,RU,1551891180,76,74,58.61,125.39,18.49,5.21
5012495,Traverse City,US,1551890887,90,56,44.76,-85.62,18.0,9.17
1511846,Oktyabrskoye,RU,1551891017,75,92,56.73,85.44,21.2,8.95
2171722,Charters Towers,AU,1551891181,24,94,-20.07,146.27,70.46,2.86
1279123,Akividu,IN,1551888000,0,83,16.58,81.37,80.6,4.65
2659810,Neustadt,CH,1551891116,20,71,47.05,8.31,55.99,2.24
705626,Klishkivtsi,UA,1551891026,0,52,48.43,26.26,46.4,6.71
2978742,Saint-Louis,CH,1551891170,0,80,47.59,7.56,60.01,11.41
4034551,Faanui,PF,1551891077,88,98,-16.48,-151.75,84.41,9.69
6149996,Smithers,CA,1551888000,20,84,54.78,-127.17,-2.21,2.3
5656497,Havre,US,1551890784,1,70,48.55,-109.68,5.0,4.7
5952370,Fernie,CA,1551888000,90,66,49.5,-115.06,15.8,8.05
1174167,Khanpur,PK,1551891188,0,60,28.65,70.66,62.54,5.77
1253628,Lata,IN,1551890972,0,94,30.78,78.62,28.25,2.08
4372777,Vardo,US,1551891184,90,48,39.62,-77.74,27.0,14.99
2641434,Northam,GB,1551891130,40,81,51.04,-4.21,53.01,14.99
778707,Mehamn,NO,1551889200,75,53,71.03,27.85,23.0,13.87
